python,英 [paθn]美 [paθɑn],n. 巨蛇，大蟒;
tracker,英 [trk(r)]美 ['trkr],n. 追踪者，追踪系统，纤夫;
sat,英 [st]美 [st],v. 坐(sit的过去式，过去分词); n. SAT美国学术能力评估测验;
soft,英 [sft]美 [sft],adj. 软的，柔软的; 温和的，柔和的; 不含酒精的; 轻松的; n. 柔软之物，柔软的部分; a
rad,英 [rd]美 [rd],n. 拉德（辐射剂量单位）;
lo,英 [l]美 [lo],int. <古>看，瞧;
legend,英 [lednd]美 [ldnd],n. 传说; 传奇人物; 图例; 铭文;
bonus,英 [bns]美 [bons],n. 奖金，额外津贴; 红利，额外股息; 退职金; 额外令人高兴的事情;
temperature,"英 [temprt(r)]美 [tmprtr,-t,tmpr-]",n. 温度; 气温; 体温; <口>发烧，高烧;
population,英 [ppjulen]美 [pɑpjulen],n. 人口; 全体居民; 特定[生物]种群; [物]布居;
likewise,英 [lakwaz]美 [lakwaz],adv. 同样地; 也，而且;
rare,英 [re(r)]美 [rer],adj. 罕见的，特殊的; 优秀的，不寻常的; 稀薄的，经过稀化的;
trim,英 [trm]美 [trm],vt. 装饰; 修剪; 整理; adj. 整齐的，整洁的; 修长的; 苗条的; n. 修剪; 整齐;
inclusion,英 [nklu:n]美 [nklun],n. 包含; 内含物;
extreme,英 [kstri:m]美 [kstrim],adj. 极端的，过激的; 极限的，非常的; 末端的; （政治上）急进的; n. 极端; 困境; [
warn,英 [w:n]美 [wrn],vt. 警告，告诫; 通知; 预告; vi. 发出警告;
panel,英 [pnl]美 [pnl],n. 镶板; 面; （门、墙等上面的）嵌板; 控制板; vt. 选定（陪审团）; 把…分格; 在…上
fetching,英 [fet]美 [ft],adj. 动人的，吸引人的，迷人的; v. 接来（某人）( fetch的现在分词 ); 使发出; 吸
rust,英 [rst]美 [rst],n. 铁锈; 锈病，锈菌; 荒废，停滞; 锈，锈色; vt.& vi. （使）生锈; [植]害锈病;
brew,英 [bru:]美 [bru],vt. 酿造; 泡，煮; 策划，酿成; vi. 以酿造麦酒或啤酒为职业; 被冲泡; 即将发生; n.
applicable,"英 [plkbl]美 [plkbl, plk-]",adj. 适当的; 可应用的;
exponentiation,英 [ekspnen'en]美 [eksponen'en],n. 求幂; 取幂;
bill,英 [bl]美 [bl],n. 账单; 清单; 钞票; 广告; vt. 安排; 给…开账单; 为…发提（货）单; 把…登录在账
recover,英 [rkv(r)]美 [r'kvr],vt. 恢复; 找回; 重新获得; <正>恢复（适当的状态或位置）; vi. 恢复健康（体力、能力等
protected,英 [pr'tektd]美 [pr'tektd],v. 防护; 保护( protect的过去式和过去分词 ); 投保; 关税保护;
strongly,英 [strl]美 [strl],adv. 强烈地; 坚强地; 坚固地; 强有力地;
hyperbolic,英 [hapblk]美 [haprbɑlk],adj. 夸张的; <几>双曲线的，<数>双曲线函数的;
pickled,英 [pkld]美 [pkld],adj. 腌制的; 盐渍的; <俚>烂醉如泥的; v. 腌，( pickle的过去式和过去分词);
lex,英 [leks]美 [leks],n. 法律; <拉>法; 法律体系; 罗马公法;
worked,英 [w:kt]美 [wkt],adj. 处理过的，作装饰用的; v. （使）工作( work的过去式和过去分词 ); （使）运作;
selenium,英 [sli:nim]美 [slinim],n. 硒;
align,英 [lan]美 [lan],vt. 使成一线，使结盟; 排整齐; vi. 排列; 成一条线;
adjust,英 [dst]美 [dst],vt.& vi. （改变…以）适应，调整，校正; 调准（望远镜等），对准，校正，校准（机械等）; 核
fundamental,英 [fndmentl]美 [fndmntl],adj. 基础的，基本的，根本的，重要的，原始的，主要的，十分重大的; [物]基频的，基谐波的; [
snakebite,英 [snekbat]美 [snekbat],n. （尤指毒蛇咬的）蛇咬伤;
asparagus,英 [sprgs]美 [sprɡs],n. 天冬; 芦笋，芦笋的茎;
challenge,英 [tlnd]美 [tlnd],n. 挑战; 质疑; 盘问; 怀疑; vt. 质疑; 向…挑战; vi. 提出挑战，要求竞赛（或竞争
closest,英 [k'lsst]美 [k'losst],adj. 最靠近的;
haven,英 [hevn]美 [hevn],n. 港口，安全地方; 避难所，安息所; vt. 把（船）开进港; 为…提供避难场所; 掩护;
mention,英 [menn]美 [mnn],vt. 提到，说起; 提名表扬; n. 提及;
flash,英 [fl]美 [fl],vt.& vi. 使闪光，使闪烁; 拍出，发出（电报等）; 〈口〉炫耀; n. 闪光; 闪光灯下摄成
publish,英 [pbl]美 [pbl],vt.& vi. 出版，发行; 发表，宣布（结婚等）; 公布，颁布; 出版…的著作;
adjacent,英 [desnt]美 [desnt],adj. 相邻; 邻近的，毗邻的; （时间上）紧接着的;
directed,英 [d'rektd]美 [d'rektd],adj. 定向的; 有指导的; 有管理的; 被控制的; v. （用建议、指示、有益的情报等）指导( 
modular,英 [mdjl(r)]美 [mɑdl(r)],adj. 模块化的; 模的; （尤指英国大学里的课程 ）分单元的（由独立单元组成，学生可选修）; （
quotient,英 [kwnt]美 [kwont],n. 商，商数;
studio,英 [stju:di]美 [studio],n. 工作室，画室; [影]演播室，电影制片厂;
snake,英 [snek]美 [snek],n. 蛇; 奸险的人; 卑劣的人; 蛇形浮动汇率制; vt. 沿…曲折前进（或延伸）; <美>/<口
efficiency,英 [fnsi]美 [fnsi],n. 功效; 效率，效能; 实力，能力; [物]性能;
tile,英 [tal]美 [tal],n. 瓦片，瓷砖; 空心砖; 麻将牌; vt. 用瓦片、瓷砖等覆盖;
clump,英 [klmp]美 [klmp],n. 丛; 笨重的脚步声; 土块; vt. 使成一丛; 凝结成块;
spinner,英 [spn(r)]美 [spn],n. 纺纱机; 纺纱工; （钓鱼用）旋式诱饵;
correlation,英 [krlen]美 [krlen],n. 相关性; 相互关系;
lemma,英 [lem]美 [lm],n. 引理; 辅助定理; 论点; 主旨;
mary,英 ['mer]美 ['mer],n. 玛丽（女子名）;
accomplished,英 [kmplt]美 [kɑmplt],adj. 才华高的; 技艺高超的; 熟练的;
declare,英 [dkle(r)]美 [dkler],vt. 申报; 宣布; 声明，声称; [法]供述; vi. 宣称; 声明，发表宣言;
intermediate,英 [ntmi:dit]美 [ntrmidit],adj. 中间的，中级的; n. 中间物，中间分子，中间人; vi. 调解：充当调解人，调解; 干涉
stated,英 ['stetd]美 ['stetd],adj. 定期的，规定的，一定的; v. 陈述; 规定( state的过去式和过去分词 ); 确定;
imagine,英 [mdn]美 [mdn],vt. 想像; 想，设想; 料想，猜想; 误认为; vi. 想象; 猜想，推测;
throw,英 [θr]美 [θro],vi. 丢; 抛; 投掷; n. 丢; 投掷的距离; vt. 抛; 掷（色子）; 猛动（头、臂、腿）
compose,英 [kmpz]美 [kmpoz],vt. 组成，构成; 调解; [印刷]排（字）; 使安定; vt.& vi. 创作（乐曲、诗歌等）;
gear,英 [g(r)]美 [gr],n. 齿轮; 排挡; 传动装置; 衣服 ; vi. 接上; 调和; vt. 使适应; 装上齿轮; 用
tex,,
tried,英 [trad]美 [trad],adj. 可靠的; 经过考验的; v. 试图，努力( try的过去式和过去分词); 考验; 磨炼; 
monkey,英 [mki]美 [mki],n. 猴; 猿; 淘气鬼; 小淘气; vi. 胡闹; 捣蛋; vt. 嘲弄;
gain,英 [gen]美 [ɡen],vt.& vi. 获得; 赢得; 增加; （钟、表）走快; n. 利润; [土木工程]腰槽; 获益;
tick,英 [tk]美 [tk],n. 壁虱; 钩号; 一瞬间; 钟的嘀嗒声; v. 发出滴答声; 在（纸）上打钩; 做出…举动;
printable,英 [prntbl]美 [prntbl],adj. 可印刷的;
alphanumeric,英 [lfnju:merk]美 [lfnumerk],adj. 文字数字的，包括文字与数字的;
rotation,英 [rten]美 [roten],n. 旋转，转动; 轮流，循环; [农]轮作; [天]自转;
numerator,英 [nju:mret(r)]美 [numret(r)],n. （分数的）分子;
subversion,"英 [sb'v:n]美 [sbvn, -n]",n. 破坏; 颠覆（活动）; 覆灭，瓦解;
bitmap,英 [btmp]美 [btmp],n. 位图;
imaging,英 [md]美 [md],n. 成像，镜像，映像; 透视显像; 意像疗法; v. 设想，想象(image的ing形式);
venue,英 [venju:]美 [vnju],n. 会场; 犯罪地点，案发地点; （尤指）体育比赛场所; 审判地;
pencil,英 [pensl]美 [pnsl],n. 铅笔，彩色铅笔; 笔状物; 画风，画法; [物]光线锥; vt. 用铅笔写; 用画笔画;
comb,英 [km]美 [kom],n. 梳子; 梳棉机; 鸡冠状的东西; 蜂窝状的东西; vt. 梳理; 彻底搜查; vi. 涌起，卷
responsive,英 [rspnsv]美 [rspɑnsv],adj. 应答的，响应的; 反应灵敏的; 共鸣的; 易反应的;
minimize,英 [mnmaz]美 [mnmaz],vt. 把…减至最低数量[程度]; 对（某事物）作最低估计，极力贬低（某事物）的价值[重要性]; 极
door,"英 [d:(r)]美 [dr,dor]",n. 门，户; 出入口; 一家[户]; 通道
altair,"英 [lt]美 [ltar, -tr, ltar, -tr]",n. 牵牛星;
accessible,英 [ksesbl]美 [kssbl],adj. 易接近的; 可理解的; 易相处的; 易感的;
nest,英 [nest]美 [nst],n. （鸟）窝; 温床; （套叠在一起的）一套物件; 藏匿处; vt. 筑巢; 嵌套; vi. 筑巢
writer,英 [rat(r)]美 [rat],n. 作家; 作者; 撰写人; 写字…的人;
suppress,英 [spres]美 [sprs],vt. 镇压，压制; 止住，忍住; 禁止发表; 阻止…的生长（或发展）;
complement,英 [kmplment]美 [kɑmplment],n. 补充; 补足语; 补充物; 补集（数）; vt. 补足，补充; 补助;
scrape,英 [skrep]美 [skrep],vt. 擦，刮; 擦去; 擦伤，刮破; 挖空; vi. 刮，擦; 搔，抓; 掏; 发出刺耳的声音; 
favor,英 ['fev]美 [fev],n. 欢心; 好感; 宠爱; 关切; vt. 支持; 赞成; 照顾; 促成;
invert,英 [nv:t]美 [nvrt],vt. 使…前后倒置; 使反转; n. 颠倒的事物; 变性者; adj. 转化的;
triangular,英 [tragjl(r)]美 [traɡjl],adj. 三角（形）的; 由三个部分构成的; 三方面的;
generalized,英 [denrlazd]美 [dnrlazd],adj. 广泛的; 普遍的; 非具体的; 整体的; v. 概括，归纳; 推论(generalize的
gradient,英 [gredint]美 [ɡredint],n. [物]梯度，陡度; （温度、气压等）变化率，梯度变化曲线; <英>（道路的）倾斜度，坡度; a
nfc,英 [en ef si:]美 [enef'si],abbr. National Football Conference 国家足球联盟 ; Near F
populate,英 [ppjulet]美 [pɑpjulet],vt. 居住于; 生活于; 移民于; 落户于;
effort,英 [eft]美 [efrt],n. 工作; 努力，尝试; 成就; 杰作;
fly,英 [fla]美 [flai],vi. 飞; 飞行; （旗）飘荡; 过得快; vt.& vi. 乘（…的）飞机; 驾驶（飞机等）; 
devel,英 ['devl]美 ['devl],n. 重击;
presentation,英 [preznten]美 [prizenten],n. 提交; 演出; 陈述，报告; 颁奖仪式;
puzzle,英 [pzl]美 [pzl],vt. 使迷惑，使难解; vt.& vi. 为难，伤脑筋; n. 难题; 智力测验，智力玩具; 令人
expire,英 [kspa(r)]美 [kspar],vi. 期满; 文件、协议等（因到期而）失效; 断气; 逝世;
principle,英 [prnspl]美 [prnspl],n. 原则，原理; 准则，道义; 道德标准; 本能;
tracking,英 ['trk]美 [trk],n. 跟踪; v. 跟踪( track的现在分词 ); 跟踪摄影; 留下（脏）足迹; 追随（潮流等）
travel,英 [trvl]美 [trvl],n. 旅行; 进行; 移动; 漫游; vi. 旅行; 传送; 前进，行进; [篮球]走步; vt. 
spanning,英 ['spn]美 ['spn],adj. （尤指树形子图）生成的;
offline,英 [flan]美 [ɑflan],adj. 离线的; 脱机的; 未连线的; 未联机的; adv. 未连线地; 未联机地; 脱机地; 离
california,"英 [kl'f:nj, -'f:ni:]美 [kl'frnj -'frni]",adj. 加利福尼亚的; n. 加利福尼亚人;
subplot,英 [sbplt]美 [sbplɑt],n. （剧本，小说中的）陪衬情节，次要情节;
cow,英 [ka]美 [ka],n. 奶牛，乳牛; 母兽; 雌（象，鲸等）; <侮辱>对女性的蔑称; vt. 恐吓; 吓唬; 威胁;
babel,"英 [bebl]美 [bbl, bebl]",n. 嘈杂声;
inspired,英 [nspad]美 [nspard],adj. 有创造力的; 品质优秀的; 有雄心壮志的; （与名词、形容词以及副词构成形容词）受…影响的
indeed,英 [ndi:d]美 [ndid],adv. 甚至; 的确，确实，实在; 实际上，真正地; 真的，真是;
hot,英 [ht]美 [hɑt],adj. 热的; 热门的; 辣的; 激动的; vt. 使兴奋，使激动; adv. 热的; 紧迫的; 
fewer,英 ['fju:]美 ['fju],pron. （动词用复数）较少数; adj. 较少的; 很少; 不多的( few的比较级 ); （与
soapbox,英 [spbks]美 [sopbɑks],n. 肥皂箱;
exporter,英 [eksp:t(r)]美 [eksprt(r)],n. 出口商; 输出者，输出国;
reactor,英 [rikt(r)]美 [rikt],n. [化工]反应器; [核]反应堆; 起反应的人; 原子炉;
gold,英 [gld]美 [gold],n. 金色; 金币; 金，黄金; 金饰品; adj. 金色的; 金（制）的，含金的; 金本位的;
holy,英 [hli]美 [holi],adj. 神圣的; 值得尊敬的，值得推崇的; 圣洁的，圣徒般的; 宗教的;
chapman,英 ['tpmn]美 ['tpmn],n. 商人，小贩，叫卖者;
footer,英 [ft(r)]美 [ft],n. 页脚; 高…英尺的人（或物）; vi. （苏格兰）摆弄，玩弄，摸弄;
hypothesis,英 [hapθss]美 [hapɑθss],n. 假设，假说; [逻]前提;
toad,英 [td]美 [tod],n. 蟾蜍，癞蛤蟆; 讨厌的家伙;
watchdog,英 [wtdg]美 [wɑtdg],n. 看门狗，看家狗; 监视者;
tern,英 [t:n]美 [trn],n. 三个一组，燕鸥;
sandman,英 [sndmn]美 ['sndmn],n. 睡眠的精灵;
playlist,英 [plelst]美 [plelst],n. 播放列表; vt. 将（唱片）排入节目播放表;
star,英 [stɑ:(r)]美 [stɑr],n. 明星; 星; 星级; 星状物; v. 主演; （在文字等旁）标星号;
da,英 [di:'e]美 [di'e],adv. <俄>是，是的;
seal,英 [si:l]美 [sil],n. 密封; 印章; 海豹; 封条; v. 密封; 盖章; 决定; 封上（信封）;
controller,英 [kntrl(r)]美 [kntrol(r)],n. 管理者; 控制者; （机器的）控制器; （公司的）财务总管;
proof,英 [pru:f]美 [pruf],n. 证明; 校样; 检验; （酒的）标准酒精度; adj. 防…的; 抗…的; 能抵御; 能防范;
cherry,英 [teri]美 [tri],n. 樱桃; 樱桃树; 樱桃色; 处女膜;
beverage,,
await,英 [wet]美 [wet],vt. 等待; 等候; 期待;
intersection,英 [ntsekn]美 [ntrsekn],n. 横断，横切; 交叉，相交; 交叉点，交叉线; [数]交集;
terminate,英 [t:mnet]美 [trmnet],vt.& vi. 结束; 使终结; 解雇; 到达终点站; adj. 结束的;
adobe,英 [dbi]美 [dobi],n. 风干土坯; 风干砖坯; （制风干砖用的）灰质粘土; 泥砖砌成的房屋; adj. 用土坯建造的;
attachment,英 [ttmnt]美 [ttmnt],n. （用电子邮件发送的）附件，附属物; 依恋，依附; 扣押财产<法>逮捕，扣押（人，财产）;
pointed,英 [pntd]美 [pntd],adj. 尖的，尖锐的; 严厉的，直截了当的; 突出的; 显然的; v. “point”的过去式和过
routine,英 [ru:ti:n]美 [rutin],n. 常规; 例行程序; 生活乏味; （演出中的）一套动作; adj. 常规的; 例行的; 日常的;
percentile,英 [psental]美 [prsental],n. 百分位（数）; 百分位（数）之一;
shaped,英 [ept]美 [ept],adj. 合适的; 成某种形状的; 有计划的; 有目标的; v. 成形(shape的过去分词和过去式
promotion,英 [prmn]美 [prmon],n. 促进，增进; 提升，升级; （商品等的）推广; 发扬;
behave,英 [bhev]美 [bhev],vi. 表现; 举止端正; 自然反应; vt. 使守规矩;
triple,英 [trpl]美 [trpl],adj. 三倍的，三方的，三部分的; vt.& vi. （使）增至三倍; n. 三倍的数[量]; 三
martin,英 [mɑ:tn]美 [mɑrtn],n. 燕科小鸟（如岩燕、雨燕）;
oregon,"英 [riɡn]美 [rɡn, -ɡɑn, ɑr-]",n. 俄勒冈州（美国州名）;
street,英 [stri:t]美 [strit],n. 大街，街道;
metrics,英 ['metrks]美 ['metrks],n. 韵律学，作诗法;
qualification,英 [kwlfken]美 [kwɑlfken],n. 资格，授权; 条件，限制; 合格证书;
redefine,英 [ri:dfan]美 [ridfan],v. 重新定义; 再定义;
restful,英 [restfl]美 [rstfl],adj. 平静的，悠闲的，让人得到休息的; 安生;
marrow,英 [mr]美 [mro],n. 骨髓; 脊髓; 滋养品; 〈英〉食用葫芦;
pendulum,英 [pendjlm]美 [pendlm],n. 摆，钟摆; 摇摆不定的事态（或局面）;
cartridge,英 [kɑ:trd]美 [kɑrtrd],n. 子弹，弹药筒; 笔芯，墨盒; 暗盒，胶卷盒; 录音带盒，唱头;
newspaper,英 [nju:zpep(r)]美 [nuzpep(r)],n. 报纸，报; 旧报纸; 新闻纸;
extensible,英 [k'stensbl]美 [k'stensbl],adj. 可展开的，可扩张的，可延长的;
central,英 [sentrl]美 [sntrl],adj. 中央的，中心的; 重要的，核心的; n. 电话总局; 电话转接员;
integrated,英 [ntgretd]美 [ntɡretd],adj. 完整的; 整体的; 结合的; （各组成部分）和谐的; v. 使一体化( integrate
committed,英 [kmtd]美 [kmtd],adj. 忠诚的，坚定的; v. 承诺; 保证（做某事、遵守协议或遵从安排等）( commit的过去
variant,英 [verint]美 [verint],n. （词等的）变体，（字音的）转讹; [生]变种，变异体; 变形，变量，转化; [统]变式; ad
alive,英 [lav]美 [lav],adj. 活着的; 活泼的; 有生气的; 敏感的;
woman,英 [wmn]美 [wmn],n. 女人，妇女; 成年女子; 女拥人或女下属; 女人本能;
cleaning,英 [kli:n]美 [klin],n. 清洁，打扫; （家畜等的）胞衣; v. （使）清洁( clean的现在分词 ); 变干净; 除
packaging,英 [pkd]美 [pkd],n. 包装; 打包; 包装材料; 包装风格; v. 包装(package的ing形式);
tower,英 [ta(r)]美 [ta],n. 塔，楼塔; 要害地; 〈罕〉（负伤鸟的）笔直向上飞; 〈美〉铁路信号所; vi. 远远高于，远
chance,英 [tɑ:ns]美 [tns],n. 机会，机遇; 概率，可能性; 偶然，运气; v. 偶然发生; 冒险; 碰巧; 偶然被发现; a
experimental,英 [kspermentl]美 [ksprmntl],adj. 实验的; 根据实验的; 试验性的; n. 试验性的东西;
enclosure,英 [nkl(r)]美 [nklo(r)],n. 附件; 圈占; 围绕; 圈占地;
enumeration,英 [nju:m'ren]美 [njum'ren],n. 计数，列举; 细目; 详表; 点查;
rounded,英 [randd]美 [randd],adj. 圆形的; 丰满的; 全面的; [语]圆唇的; vi.&vt. round的过去式和过去分词
permit,英 [pmt]美 [prmt],vt. 许可，准许; 默许，放任; 允许，容许; vi. 许可，允许; n. 许可，准许; 许可证，
loiter,英 [lt(r)]美 [lt],vi. 游荡; 闲逛; （在公共场所）走走停停; 磨蹭;
cart,英 [kɑ:t]美 [kɑrt],n. 运货马车，手推车; 一车之量; vt. 用推车或卡车运送; 费力搬运; 强行带走，抓走;
scheduled,英 ['edju:ld]美 ['skedld],adj. 预定的; 排定的; 规定价格的; 严格按时间表生活的; vt. 将…列入计划（或时间）表;
earth,英 [:θ]美 [rθ],n. 地球; 泥土; 陆地; 兽穴; vt. 把（电线）接地; 盖（土）; 追赶入洞穴; vi. 躲
intelligence,英 [nteldns]美 [ntldns],n. 情报; 智力; 聪颖; 情报机构;
zoo,英 [zu:]美 [zu],n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园;
inbox,英 [nbks]美 [nbɑks],n. 收信信箱;
composer,英 [kmpz(r)]美 [kmpoz(r)],n. （尤指古典音乐）作曲家; 调停人; 设计者;
companion,英 [kmpnin]美 [kmpnjn],n. 同伴; [天]伴星(=~star); （用于书名）指南; 同甘共苦的伙伴; vt. 陪伴; 同
fire,英 [fa(r)]美 [far],n. 火灾; 火，燃烧物; 射击，发射; 热情; vt.& vi. 开火，射击; 燃烧; 引爆炸药;
contributor,英 [kntrbjt(r)]美 [kn'trbjt],n. 贡献者; 捐助者; 投稿者;
dashboard,英 [db:d]美 [dbrd],n. 仪表板; 仪表盘; 仪表的控制盘; 挡泥板;
restore,"英 [rst:(r)]美 [rstr, -stor]",vt. 修复; 归还; 交还; 使恢复; vt.& vi. 恢复（某种情况或感受）; 使复原; 使复
dist,英 ['dst]美 ['dst],abbr. distribute 分发; distinguish 区分; district 区域; 
firstname,英 [f:st'nem]美 [fst'nem],n. 名字;
revert,英 [rv:t]美 [rvrt],vi. 恢复; 重提; 回到…上; <律>归还; n. 归属; 恢复原来信仰的人; vt. 使恢复原
hexadecimal,英 [heksdesml]美 [hksdsml],n.& adj. 十六进制（的）;
rock,英 [rk]美 [rɑk],n. 摇滚乐; 岩石，石头; 棒糖; <非正式>宝石（尤指钻石）; v. 摇晃; 摇动; 震动; v
scatter,英 [skt(r)]美 [skt],vt. （使）散开，（使）分散，驱散; vi. 分散; 撒开; n. 撒布，散播;
quotation,英 [kwten]美 [kwoten],n. 引用，引证; [商业]行情，行市; 行市表，估价单; 引用语;
intro,英 [ntr]美 [ntro],n. 介绍;
readability,英 [ri:d'blt]美 [rid'blt],n. 易读，可读性;
fig,英 [fg]美 [fɡ],n. 无花果; 无花果树;
shop,英 [p]美 [ɑp],n. 商店; 购物; 工厂; 办事处; vt.& vi. （到…）去买东西[购物]; 逛商店; vt
gave,英 [gev]美 [ɡev],v. 交给; 给予，赠送( give的过去式 ); （与名词连用描述某一动作，意义与该名词相应的动词
miscellaneous,英 [mslenis]美 [mslenis],adj. 混杂的; 各种各样的; 五花八门的; 多方面的;
rayleigh,英 [reili]美 [reli],n. 瑞利（夜空光和极光的亮度单位）;
convey,英 [knve]美 [knve],vt. 表达; 传达，传递; 运送，输送; [法]让与，转让（财产等）;
semaphore,"英 [semf:(r)]美 [smfr, -for]",n. 臂板信号系统，（铁道）臂板信号装置; vt.& vi. 发出信号，打旗语;
spreadsheet,英 [spredi:t]美 [sprdit],n. 电子表格程序;
pressing,英 [pres]美 [prs],adj. 紧迫的，紧急的; 迫切的，急迫的; 恳切的; n. 压，压制; 模压制品; 力主; 唱片;
quantifier,英 [kwntfa(r)]美 [kwɑntfa(r)],n. 数量词，量词;
inference,英 [nfrns]美 [nfrns],n. 推理; 推断; 推论;
pod,英 [pd]美 [pɑd],n. 荚，豆荚; （飞机的）吊舱; （航天器或船只上可与船只主体分离的）分离舱; vi. 结豆荚; 
invalidate,英 [nvldet]美 [nvldet],vt. 使无效; 使作废; 证明…错误; 使站不住脚;
popped,英 [ppt]美 [ppt],adj. <美俚>被逮捕的，被警察局拘押的; v. Point of Presence[Post O
picked,英 [pkt]美 [pkt],adj. 精选的，摘下的; v. 摘; 采( pick的过去式和过去分词 ); 啄; 叼;
reusable,英 [ri:ju:zbl]美 [rijuzbl],adj. 可再用的，可重复使用的，可重用的;
cassandra,英 [ksndr]美 [ksndr],n. <希神>卡珊德拉，凶事预言家，不为人所信的预言家;  卡桑德拉（女子名），来源于希腊语，含义是
prim,英 [prm]美 [prm],adj. 整洁的; 循规蹈矩的; （人）一本正经; adv. 循规蹈矩地，整洁地; v. （使）一本
checkers,英 [tekz]美 [tekrz],n. 西洋跳棋; 方格图案( checker的名词复数 );
accumulate,英 [kju:mjlet]美 [kjumjlet],vt.& vi. 堆积，积累; vi. （数量）逐渐增加，（质量）渐渐提高;
calendar,英 [klnd(r)]美 [klnd],n. 日历; 历法; 日程表; （一年之中的）重大事件（或重要日期）一览表; vt. 把…记入日程表
buy,英 [ba]美 [ba],vt.& vi. 购买，购得; n. 交易，买卖; 便宜货; vt. 够支付; 买通; 收买; 贿赂
similarity,英 [smlrti]美 [smlrti],n. 类似; 相像性; 相仿性; 类似性，相似物;
lab,英 [lb]美 [lb],"n. 实验室，研究室; Lab,英国政治工党; 分析室; 暗室;"
ecosystem,英 [i:ksstm]美 [ikosstm],n. <生>生态系统;
certainly,英 [s:tnli]美 [srtnli],adv. 肯定; 当然; 无疑; 确定;
bias,英 [bas]美 [bas],n. 偏见; 倾向; 偏爱，爱好; 斜纹; vt. 使倾向于; 使有偏见; 影响; 加偏压于; ad
conj,英 ['knd]美 ['knd],n. 连接词，连词;
logistic,英 [l'dstkl]美 [lodstk],adj. 逻辑的; [军]后勤学的; n. [逻]数理逻辑; 符号逻辑; [军]后勤学;
grocery,英 [grsri]美 [grosri],n. 食品杂货店; 食品杂货业;
daily,英 [deli]美 [deli],adj. 每日的，日常的; 一日的; 每日一次的; 每个工作日的; n. 日报; （不寄宿的）仆人，
china,英 ['tan]美 [tan],n. 瓷器; 瓷餐具; 杯、盘、碟等的总称; 陶器;
clang,英 [kl]美 [kl],n. 叮当声; v. （使）叮当地响;
opposite,英 [pzt]美 [ɑpzt],adj. 对面的; 相对的; 对立的; [数学]（顶、边等）对的; prep. （表示位置）在…的对
fluent,英 [flu:nt]美 ['flunt],adj. 流利的; 流畅的; 液态的;
interact,英 [ntrkt]美 [ntkt],v. 互动; 相互作用; 互相影响;
photo,英 [ft]美 [foto],n. 照片，相片; vt.& vi. （给…）拍照;
ram,英 [rm]美 [rm],n. 公羊; <天>(R-)白羊（星）座; <机>夯; 攻城槌; vt. 夯实（土等）; 猛撞; 猛
brand,英 [brnd]美 [brnd],n. [商]商标，牌子; 烙印; 〈比喻〉污名，耻辱; 燃烧着的木头; vt. 污辱; 铭刻于; 加
conflict,英 [knflkt]美 [kɑnflkt],n. 冲突; 矛盾; 战斗; 相互干扰; vi. 冲突; 抵触; 争斗; 战斗;
fizz,英 [fz]美 [fz],n. 嘶嘶声; 兴奋; 活力; 〈美〉发泡性饮料（特指香槟酒等）; vi. 兴奋; 发嘶嘶声; （液
exponent,英 [kspnnt]美 [ksponnt],n. 指数; 典型; 说明者; 样品，说明物; adj. 说明的; 讲解的;
inclusive,英 [nklu:sv]美 [nklusv],adj. 包括的，包罗广泛的; 包括…的; 一切开支包括在内的; （语言使用上）不分男女的;
scenario,英 [snɑ:ri]美 [snrio],n. （行动的）方案; 剧情概要; 分镜头剧本;
heavy,英 [hevi]美 [hvi],adj. 重的，沉重的; 大量的，浓密的; 激烈的; 重型的; n. 重物; 庄重的角色; adv.
depend,英 [dpend]美 [dpnd],vi. 依赖; 依靠; 信赖; 决定于;
trouble,英 [trbl]美 [trbl],n. 麻烦; 故障; 烦恼; 动乱; vi. 烦恼; 费心; vt. 麻烦; 使烦恼; 折磨;
chi,英 [ka]美 [ka],n. 希腊字母的第 22字;
inaccurate,英 [nkjrt]美 [nkjrt],adj. 不准确; 不正确的; 有错误的; 不精密的;
pis,英 ['paz]美 ['paz],n. 圆周率(π)( pi的名词复数 );
coerce,英 [k:s]美 [kors],vt. 逼迫; 威胁; 强迫，强制; 控制，限制;
heading,英 [hed]美 [hd],n. 标题，题名; 信头; [航]航向; 斩首; v. 用头顶(head的现在分词);
occupation,英 [kjupen]美 [ɑkjupen],n. 职业，工作; 占有，占领; （土地、房屋、建筑等的）使用;
percentage,英 [psentd]美 [prsentd],n. 百分比，百分率; 比例，部分; [数]百分法; [商]手续费;
merchant,英 [m:tnt]美 [mrtnt],n. 商人; 店主; 批发商; 零售商; adj. 商人的; 商业的;
bomb,英 [bm]美 [bɑm],n. 炸弹; 彻底的失败; [橄榄球] 长传; 高压贮罐; vt. 轰炸，投弹于; vi. 投弹; 
mining,英 [man]美 [man],n. 采矿（业）; v. 在…中开采，开采(mine的现在分词); 在…中[下]布雷; 以地雷[水雷
initially,英 [nli]美 [nli],adv. 最初; 开始;
responsibility,英 [rspnsblti]美 [rspɑnsblti],n. 责任; 职责; 负责任; 责任感，责任心;
opt,英 [pt]美 [ɑpt],vi. 选择，挑选;
topological,英 [tp'ldkl]美 [tp'ldkl],adj. 地志学的； 拓扑（学）的;
mismatch,英 [msmt]美 [msmt],vt. 使配错，使配合不当; n. 错配，失谐;
